,,,0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
2,1,1,0.0
2,1,2,3.2123024942592813
2,1,3,0.0
2,1,4,6.769188210538008
2,2,1,0.0
2,2,2,0.0
2,2,3,0.0
2,2,4,0.0
2,3,1,0.0
2,3,2,0.0
2,3,3,0.0
2,3,4,0.0
2,4,1,0.0
2,4,2,0.0
2,4,3,0.0
2,4,4,0.0
3,1,1,0.0
3,1,2,0.0
3,1,3,0.0
3,1,4,0.0
3,2,1,0.0
3,2,2,0.0
3,2,3,0.0
3,2,4,0.0
3,3,1,0.0
3,3,2,0.0
3,3,3,0.0
3,3,4,0.0
3,4,1,0.0
3,4,2,0.0
3,4,3,0.0
3,4,4,0.0
4,1,1,0.0
4,1,2,3.495328175634067
4,1,3,0.0
4,1,4,0.0
4,2,1,0.0
4,2,2,0.0
4,2,3,0.0
4,2,4,0.0
4,3,1,0.0
4,3,2,0.0
4,3,3,0.0
4,3,4,0.0
4,4,1,0.0
4,4,2,0.0
4,4,3,0.0
4,4,4,0.0
5,1,1,0.0
5,1,2,0.0
5,1,3,0.0
5,1,4,0.0
5,2,1,0.0
5,2,2,0.0
5,2,3,0.0
5,2,4,0.0
5,3,1,0.0
5,3,2,0.0
5,3,3,0.0
5,3,4,0.0
5,4,1,0.0
5,4,2,0.0
5,4,3,0.0
5,4,4,0.0
6,1,1,0.0
6,1,2,4.862559360027859
6,1,3,3.2813484180044217
6,1,4,0.16032530994476207
6,2,1,0.0
6,2,2,0.0
6,2,3,0.0
6,2,4,0.0
6,3,1,0.0
6,3,2,0.0
6,3,3,0.0
6,3,4,0.0
6,4,1,0.0
6,4,2,0.0
6,4,3,0.0
6,4,4,0.0
7,1,1,0.0
7,1,2,0.0
7,1,3,0.0
7,1,4,0.0
7,2,1,0.0
7,2,2,0.0
7,2,3,0.0
7,2,4,0.0
7,3,1,0.0
7,3,2,0.0
7,3,3,0.0
7,3,4,0.0
7,4,1,0.0
7,4,2,0.0
7,4,3,0.0
7,4,4,0.0
8,1,1,0.0
8,1,2,0.0
8,1,3,0.0
8,1,4,0.0
8,2,1,0.0
8,2,2,0.0
8,2,3,0.0
8,2,4,0.0
8,3,1,0.0
8,3,2,0.0
8,3,3,0.0
8,3,4,0.0
8,4,1,0.0
8,4,2,0.0
8,4,3,0.0
8,4,4,0.0
9,1,1,0.0
9,1,2,5.489837218751836
9,1,3,0.0
9,1,4,0.0
9,2,1,0.0
9,2,2,0.0
9,2,3,0.0
9,2,4,0.0
9,3,1,0.0
9,3,2,0.0
9,3,3,0.0
9,3,4,0.0
9,4,1,0.0
9,4,2,0.0
9,4,3,0.0
9,4,4,0.0
10,1,1,0.0
10,1,2,0.0
10,1,3,0.0
10,1,4,0.0
10,2,1,0.0
10,2,2,0.0
10,2,3,6.0282708358654
10,2,4,0.0
10,3,1,0.0
10,3,2,0.0
10,3,3,0.0
10,3,4,0.0
10,4,1,0.0
10,4,2,0.0
10,4,3,0.0
10,4,4,0.0
