1,2,3,4,5,6
10,9,5,0,0,0
0,9,6,0,0,0
0,0,4,0,0,0
9,0,6,0,0,0
0,0,4,4,0,0
12,0,6,0,0,0
0,0,5,0,2,0
10,0,6,0,0,0
0,0,4,0,0,0
0,6,4,0,0,0
11,0,6,0,0,0
0,0,5,0,0,1
0,7,6,0,2,0
0,0,6,4,0,0
0,0,5,0,0,0
12,9,6,4,0,0
0,0,6,0,1,0
0,9,4,0,2,0
10,0,0,0,0,1
0,0,4,0,0,0
8,0,4,0,1,0
0,8,4,2,1,0
0,0,5,5,0,0
0,0,5,0,0,0
0,0,5,0,2,0
9,0,6,2,1,0
0,0,5,0,0,1
0,0,5,0,1,0
0,7,6,0,2,0
0,0,6,3,1,0
8,0,0,0,0,0
0,9,4,5,0,0
0,0,0,2,0,0
0,6,6,0,0,0
12,0,0,0,0,0
0,0,5,0,0,1
11,0,4,0,2,0
0,0,4,0,0,0
0,0,5,3,0,0
0,0,6,0,0,0
8,8,4,5,0,0
0,6,0,0,1,0
8,0,0,0,0,0
0,0,0,4,0,0
0,0,0,0,2,0
0,6,4,0,0,1
0,8,4,0,0,0
0,6,0,5,1,0
0,0,0,4,2,0
0,9,5,0,0,1
0,7,0,3,0,0
0,8,5,5,0,0
