1,2,3,4,5,6
11,7,0,0,0,0
12,6,0,3,0,0
10,0,0,0,0,0
9,0,0,4,0,0
0,6,0,0,0,0
9,0,4,0,0,0
0,0,0,3,0,0
0,0,0,5,2,0
0,0,0,0,2,0
0,9,0,0,0,0
0,0,4,0,0,1
0,0,5,5,0,0
0,7,0,0,0,0
9,8,5,2,0,0
0,6,6,4,0,0
0,0,6,0,0,0
10,0,6,0,0,0
9,8,4,2,1,0
0,0,0,3,2,0
11,8,4,0,0,0
0,0,0,0,2,0
10,0,0,5,0,0
0,0,6,3,0,0
0,0,0,5,0,0
0,0,0,3,0,0
0,0,4,0,0,0
0,0,0,0,2,0
0,0,5,3,1,0
0,0,5,3,0,0
0,0,0,2,0,0
0,0,0,0,2,1
0,8,0,0,1,0
0,0,0,0,2,0
9,0,0,0,0,1
0,0,0,4,0,0
8,0,4,2,0,0
10,9,0,4,2,0
0,8,0,3,0,0
0,7,0,2,0,0
0,7,0,4,1,0
0,8,0,0,0,0
0,7,0,0,0,0
0,0,0,4,0,0
0,0,0,0,2,0
11,0,5,2,1,0
10,8,0,0,2,0
8,0,5,3,2,0
0,0,4,3,0,1
8,0,0,3,0,0
0,0,0,3,1,0
0,8,6,5,0,0
0,0,0,4,0,0
0,6,0,0,0,0
0,0,0,3,2,0
0,0,0,3,0,1
0,0,0,5,2,1
0,9,0,5,1,0
0,0,5,0,0,0
11,0,0,3,2,1
11,0,0,4,0,0
8,0,0,5,0,0
0,0,0,5,0,0
10,0,5,2,0,0
0,0,0,4,2,0
9,0,0,0,0,0
0,0,0,5,0,0
8,8,0,0,0,1
11,6,4,0,0,0
0,8,0,0,0,0
0,0,0,4,1,0
0,8,4,2,0,0
0,0,0,5,0,0
0,0,0,0,2,1
12,0,0,0,0,0
0,8,0,0,1,0
11,0,0,2,0,0
0,6,0,5,0,1
9,0,0,4,0,0
12,0,0,0,1,0
0,9,0,5,0,0
0,0,0,3,0,0
9,8,6,4,1,0
0,0,0,3,0,0
0,9,5,2,0,0
0,0,0,3,0,0
0,0,5,0,0,0
0,0,0,3,0,0
0,0,0,4,0,0
0,0,6,5,2,1
0,0,0,2,0,0
0,0,5,2,0,1
0,0,6,4,1,0
10,0,5,5,0,0
0,9,0,0,1,0
0,0,0,3,0,0
0,0,0,2,1,0
0,0,0,2,2,0
0,0,4,0,0,0
0,0,0,3,1,0
0,0,0,5,2,0
10,0,0,0,0,0
0,8,4,2,0,0
0,0,0,5,0,0
0,0,0,4,0,0
0,9,0,0,1,0
