1,2,3,4,5,6
0,0,0,4,0,0
0,6,6,0,2,0
11,0,0,0,0,0
0,0,4,0,0,0
11,0,0,3,0,0
9,7,0,0,1,0
0,0,0,0,1,0
0,8,0,5,0,0
12,9,0,0,1,0
0,7,0,4,0,0
0,8,0,3,0,0
8,0,0,0,0,0
8,8,0,0,0,0
0,0,0,5,0,0
12,0,5,4,0,0
0,0,0,5,1,0
0,0,5,3,0,0
9,0,0,5,0,0
11,8,4,0,0,0
12,0,0,4,2,0
0,0,0,3,0,0
0,0,4,4,0,0
10,7,0,2,0,0
0,6,0,3,0,0
10,0,0,0,0,0
11,0,0,4,1,0
11,6,0,3,0,0
0,0,0,5,0,0
0,0,5,0,0,0
0,7,0,4,0,0
0,0,0,4,0,0
0,6,0,2,0,1
0,0,0,0,1,0
11,0,0,2,0,1
0,0,0,0,2,0
0,6,0,2,0,0
0,0,0,2,0,0
0,0,0,0,0,1
0,0,0,4,0,0
0,9,0,0,0,1
0,0,0,2,2,0
0,0,4,2,0,0
0,0,0,5,0,0
0,9,6,5,2,0
0,0,0,4,0,0
0,0,0,4,0,0
0,0,0,3,1,0
0,0,0,3,0,0
0,0,0,0,0,1
8,0,0,5,2,0
10,9,0,4,2,0
9,0,0,4,2,0
