1,2,3,4,5,6
0,7,0,2,0,0
0,0,4,4,2,0
0,6,0,5,0,0
0,7,4,0,0,0
8,0,0,4,1,0
0,8,0,0,2,0
11,0,0,4,1,1
0,0,6,0,0,0
0,0,0,4,0,0
0,0,6,2,2,1
0,8,0,4,0,0
0,0,0,0,2,0
0,6,0,2,2,0
0,0,0,3,0,0
0,0,0,3,0,1
0,0,0,3,1,0
0,0,5,2,2,0
8,6,0,3,0,1
9,8,0,5,0,0
0,0,0,2,0,0
9,0,6,4,0,0
0,0,0,3,2,0
12,6,0,5,1,0
0,8,0,3,0,0
11,8,6,3,0,0
0,0,0,3,0,0
11,0,0,5,0,0
0,0,5,0,0,0
0,6,0,5,0,0
0,6,0,5,0,0
11,0,4,3,0,0
11,6,0,3,2,0
0,0,0,5,0,0
0,0,4,2,0,0
0,0,0,5,2,0
0,0,0,4,1,0
8,0,0,0,0,0
0,0,4,2,2,0
10,0,0,0,0,1
10,0,4,0,0,0
0,0,0,4,0,0
0,0,0,3,0,0
0,0,5,5,2,0
12,0,0,5,2,0
0,9,0,0,0,0
0,0,0,4,2,0
0,6,0,0,0,0
8,0,0,2,0,0
0,0,0,5,2,0
8,0,4,4,0,0
0,0,4,4,0,0
11,9,0,3,0,0
