1,2,3,4,5,6
0,0,4,3,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,6,4,0,0,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,6,0,1,0
11,0,5,0,0,0
0,0,6,0,0,0
0,7,5,0,0,1
0,9,4,3,0,0
0,0,5,0,1,0
0,0,0,0,1,0
0,8,6,5,2,0
8,8,0,0,0,0
0,0,0,3,0,0
0,0,4,5,0,0
0,7,5,0,0,0
0,0,5,3,0,0
0,0,6,0,1,0
0,0,5,0,0,0
0,0,4,5,0,0
0,0,4,0,0,0
0,0,5,0,0,0
10,9,0,5,0,0
0,9,0,0,0,0
9,0,5,4,0,0
12,0,0,2,0,1
0,0,5,3,1,0
0,0,6,0,2,0
0,0,5,4,0,0
0,8,5,0,0,0
8,0,0,0,0,0
0,0,6,0,0,0
0,6,0,0,0,0
0,0,4,0,0,0
10,0,4,0,0,0
10,0,5,0,0,0
10,6,4,0,0,0
0,0,5,0,2,0
0,6,0,0,0,0
0,0,6,2,0,0
0,0,6,0,0,0
0,0,4,0,2,0
0,0,5,0,0,0
0,0,5,0,0,1
0,0,4,0,2,0
12,9,0,0,0,0
0,6,4,4,0,0
0,7,5,4,0,0
0,0,6,0,0,0
0,0,5,0,0,0
12,0,4,0,2,0
11,0,0,0,0,0
0,0,0,4,0,0
0,0,0,0,1,0
12,6,0,4,2,0
0,0,5,0,1,0
9,0,0,0,2,0
0,9,6,0,0,0
0,0,0,0,1,0
0,0,5,0,0,0
11,9,4,0,1,0
0,0,6,4,0,1
8,0,4,0,0,0
0,0,4,0,0,1
0,0,6,2,0,0
0,7,6,5,1,0
9,0,5,0,1,0
11,0,0,4,0,0
0,0,6,0,1,0
0,0,6,2,0,0
10,8,0,0,0,0
0,0,6,0,0,0
0,0,5,0,2,0
0,0,6,4,0,0
0,7,0,0,1,0
11,0,6,2,1,0
0,9,4,0,0,0
10,0,6,0,0,0
0,0,0,0,2,0
0,0,0,5,0,1
0,0,0,0,2,0
0,9,6,4,2,0
10,0,6,0,0,0
10,9,4,0,1,0
0,8,4,4,0,1
0,0,6,4,2,0
0,7,5,0,0,1
0,0,6,0,2,0
0,9,0,0,0,0
0,0,0,2,0,0
10,0,4,0,0,0
0,0,6,0,0,1
0,0,0,0,0,1
0,0,4,5,1,0
0,0,6,0,0,1
0,0,0,0,1,1
0,0,0,3,0,0
0,0,0,0,0,1
9,9,4,4,0,0
0,0,4,0,0,0
0,0,6,0,0,1
0,0,6,0,0,0
9,0,5,0,0,0
