1,2,3,4,5,6
0,8,0,0,2,0
0,6,0,5,0,0
0,8,6,0,0,0
0,9,0,2,0,1
9,0,0,0,0,0
0,9,4,0,0,0
9,7,0,0,0,0
0,7,0,0,0,0
0,6,5,0,0,0
0,7,0,0,0,0
0,7,0,0,0,1
12,0,0,0,0,0
0,7,0,0,1,0
0,0,0,5,0,0
9,6,0,0,0,0
0,7,4,0,0,0
12,8,0,5,0,0
12,6,0,0,0,0
8,7,0,4,0,0
0,9,0,0,0,0
0,6,0,5,2,0
9,7,4,0,1,0
0,0,4,0,0,0
10,0,0,0,0,0
0,9,0,5,2,1
8,7,6,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,0,0,0,2,0
0,0,4,0,0,0
8,0,4,0,0,0
12,8,0,0,1,0
0,6,6,0,0,0
11,6,6,4,2,0
0,8,0,0,2,0
0,0,0,5,0,0
0,6,0,0,0,0
0,7,0,0,0,0
0,8,0,3,1,1
0,7,0,0,1,1
0,0,0,2,0,0
0,8,6,0,1,0
12,7,0,0,0,0
0,9,6,5,1,0
0,7,0,0,0,0
0,8,5,0,1,0
0,6,0,0,0,0
0,8,0,0,0,0
0,6,6,0,1,0
12,8,0,0,2,0
12,9,6,0,2,0
10,9,0,2,0,0
