1,2,3,4,5,6
0,9,4,4,0,0
0,9,5,0,1,0
0,9,0,0,2,0
0,8,0,0,0,0
0,8,0,0,0,0
10,6,0,0,1,0
0,9,0,3,0,0
0,6,0,0,0,0
8,9,0,0,0,0
0,9,6,3,0,0
0,7,0,0,0,1
0,6,0,4,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,0,0,0,1,0
0,9,0,0,0,0
0,9,0,5,0,0
0,9,0,3,0,0
12,8,0,0,0,0
0,0,4,0,0,0
0,9,0,0,0,0
0,8,0,4,1,0
0,8,5,4,0,0
0,8,0,0,0,0
0,9,0,0,0,0
0,6,0,0,2,0
0,6,0,0,0,0
0,9,0,0,0,0
11,9,0,2,0,0
12,9,0,0,0,0
11,7,4,0,0,0
0,7,4,3,0,0
0,8,0,0,2,0
0,6,0,0,0,0
0,8,6,0,0,1
0,9,0,0,0,0
8,6,6,0,0,1
9,6,0,0,0,1
10,9,0,0,1,1
8,9,0,5,0,0
0,6,0,0,1,0
10,0,0,0,0,0
0,8,0,0,2,0
0,9,0,0,1,0
11,7,0,4,0,0
0,6,0,0,2,0
9,7,0,0,0,0
0,7,0,0,0,1
0,8,0,0,1,0
0,8,0,0,2,0
11,8,6,5,0,0
0,6,4,0,0,0
