1,2,3,4,5,6
0,8,0,0,0,0
0,8,0,0,0,0
0,9,5,0,1,1
0,7,0,0,2,1
0,0,5,0,0,0
11,9,0,0,2,0
0,9,4,0,0,0
10,7,5,4,2,0
0,0,0,3,1,0
0,6,4,0,1,0
8,8,0,4,0,0
0,7,0,0,0,0
10,7,0,0,0,0
0,6,0,0,0,0
0,7,0,0,2,0
0,8,0,4,0,0
0,6,0,0,0,0
0,8,0,0,1,0
0,8,0,0,2,0
0,0,0,0,0,1
10,7,0,4,0,0
0,8,0,3,0,0
0,6,0,0,0,0
0,6,6,3,0,0
0,9,0,4,2,0
0,0,0,0,2,0
0,0,4,0,0,0
0,6,0,0,0,0
0,9,6,0,0,0
0,8,5,0,0,0
0,7,0,0,0,0
0,7,0,2,0,0
10,6,0,0,0,0
0,7,0,0,0,0
9,7,0,0,0,0
0,9,0,5,0,0
0,7,0,0,0,1
0,6,0,0,0,0
11,0,0,0,2,0
0,8,4,0,0,0
0,6,0,4,1,0
0,7,0,0,0,1
0,0,0,2,0,0
0,8,0,0,0,0
0,8,0,0,0,0
0,0,6,0,0,0
9,9,0,0,2,0
0,7,4,2,0,0
0,8,0,0,0,0
9,0,4,0,0,0
9,7,4,3,0,0
9,8,0,0,2,0
