1,2,3,4,5,6
0,9,4,5,1,1
0,7,0,2,0,0
0,0,5,0,1,0
0,7,0,0,0,0
9,0,5,0,0,0
0,9,0,0,1,0
0,7,0,0,0,0
0,8,0,0,0,0
0,6,0,0,0,0
0,7,4,0,0,0
8,7,0,3,0,0
0,8,0,0,0,0
0,7,6,0,0,0
0,9,5,0,0,0
8,0,0,0,1,0
0,6,0,0,0,0
0,0,0,0,2,0
0,9,0,0,0,0
11,0,5,3,0,0
0,6,0,0,0,0
0,0,0,0,2,0
0,7,0,0,0,0
0,7,0,2,0,1
0,6,4,2,1,0
0,8,0,2,0,0
12,7,0,0,2,0
0,7,0,0,0,1
0,9,0,0,0,0
0,6,0,0,0,0
0,7,6,0,0,0
0,8,0,0,1,0
10,8,4,2,0,0
0,8,0,4,0,0
8,9,0,0,0,0
0,7,0,0,0,0
0,7,0,0,1,0
0,9,0,3,2,0
0,7,0,0,0,0
0,8,0,0,1,0
10,6,4,0,0,0
0,8,0,0,0,0
11,6,6,0,0,0
0,9,0,0,0,0
0,0,0,0,1,1
0,6,0,4,0,0
0,9,0,0,0,0
0,0,0,0,2,0
8,9,0,5,2,0
0,8,0,0,0,0
0,8,0,3,0,1
0,6,0,0,0,0
12,6,6,2,2,0
